Date,T
2010-01-01,-17.657
2010-01-02,-7.874
2010-01-03,-4.247
2010-01-04,-4.564
2010-01-05,-3.985
2010-01-06,-2.864
2010-01-07,-4.447
2010-01-08,-11.863
2010-01-09,-21.78
2010-01-10,-25.719
2010-01-11,-22.586
2010-01-12,-18.611
2010-01-13,-23.795
2010-01-14,-22.584
2010-01-15,-19.473
2010-01-16,-24.775
2010-01-17,-25.957
2010-01-18,-26.703
2010-01-19,-23.714
2010-01-20,-18.969
2010-01-21,-23.456
2010-01-22,-26.369
2010-01-23,-24.849
2010-01-24,-25.805
2010-01-25,-17.954
2010-01-26,-5.87
2010-01-27,-9.513
2010-01-28,-16.273
2010-01-29,-20.841
2010-01-30,-19.708
2010-01-31,-20.66
2010-02-01,-28.576
2010-02-02,-31.216
2010-02-03,-29.834
2010-02-04,-22.895
2010-02-05,-12.515
2010-02-06,-10.112
2010-02-07,-8.739
2010-02-08,-12.902
2010-02-09,-11.533
2010-02-10,-15.366
2010-02-11,-13.539
2010-02-12,-13.19
2010-02-13,-10.633
2010-02-14,-5.725
2010-02-15,-3.272
2010-02-16,-2.752
2010-02-17,-2.698
2010-02-18,-2.687
2010-02-19,-2.674
2010-02-20,-2.99
2010-02-21,-2.36
2010-02-22,-3.806
2010-02-23,-3.19
2010-02-24,-4.619
2010-02-25,-7.687
2010-02-26,-8.997
2010-02-27,-7.472
2010-02-28,-9.715
2010-03-01,-21.911
2010-03-02,-20.119
2010-03-03,-20.23
2010-03-04,-25.638
2010-03-05,-17.271
2010-03-06,-10.552
2010-03-07,-12.483
2010-03-08,-10.976
2010-03-09,-12.305
2010-03-10,-13.204
2010-03-11,-14.63
2010-03-12,-15.807
2010-03-13,-10.417
2010-03-14,-6.552
2010-03-15,-6.755
2010-03-16,-9.538
2010-03-17,-12.076
2010-03-18,-11.959
2010-03-19,-15.04
2010-03-20,-17.209
2010-03-21,-18.633
2010-03-22,-16.294
2010-03-23,-23.121
2010-03-24,-17.14
2010-03-25,-11.259
2010-03-26,-10.22
2010-03-27,-21.204
2010-03-28,-21.851
2010-03-29,-17.834
2010-03-30,-15.891
2010-03-31,-12.694
2010-04-01,-2.887
2010-04-02,-0.247
2010-04-03,-5.736
2010-04-04,-6.48
2010-04-05,-1.588
2010-04-06,-1.45
2010-04-07,-2.218
2010-04-08,-3.584
2010-04-09,-4.912
2010-04-10,-6.643
2010-04-11,-5.109
2010-04-12,-9.227
2010-04-13,-13.369
2010-04-14,-11.969
2010-04-15,-14.268
2010-04-16,-10.899
2010-04-17,-7.098
2010-04-18,-1.329
2010-04-19,1.253
2010-04-20,0.921
2010-04-21,-2.936
2010-04-22,-1.954
2010-04-23,-2.408
2010-04-24,-4.746
2010-04-25,-6.108
2010-04-26,-4.658
2010-04-27,-5.566
2010-04-28,-2.595
2010-04-29,-1.715
2010-04-30,-0.995
2010-05-01,0.008
2010-05-02,-2.266
2010-05-03,-2.285
2010-05-04,-5.497
2010-05-05,-7.111
2010-05-06,-4.868
2010-05-07,-0.858
2010-05-08,0.895
2010-05-09,1.177
2010-05-10,0.251
2010-05-11,-2.985
2010-05-12,-2.27
2010-05-13,-1.097
2010-05-14,-1.471
2010-05-15,-0.632
2010-05-16,-0.196
2010-05-17,2.48
2010-05-18,2.165
2010-05-19,-0.697
2010-05-20,-3.578
2010-05-21,-4.233
2010-05-22,-4.725
2010-05-23,-3.388
2010-05-24,-0.191
2010-05-25,3.287
2010-05-26,0.972
2010-05-27,4.625
2010-05-28,7.543
2010-05-29,6.515
2010-05-30,-0.419
2010-05-31,0.248
2010-06-01,0.124
2010-06-02,0.349
2010-06-03,0.12
2010-06-04,2.236
2010-06-05,2.027
2010-06-06,2.752
2010-06-07,2.765
2010-06-08,3.22
2010-06-09,6.705
2010-06-10,11.921
2010-06-11,4.567
2010-06-12,-0.62
2010-06-13,2.213
2010-06-14,0.61
2010-06-15,1.631
2010-06-16,0.912
2010-06-17,2.971
2010-06-18,3.303
2010-06-19,3.008
2010-06-20,3.43
2010-06-21,2.968
2010-06-22,4.626
2010-06-23,6.071
2010-06-24,6.805
2010-06-25,4.101
2010-06-26,0.059
2010-06-27,3.994
2010-06-28,2.436
2010-06-29,4.335
2010-06-30,8.247
2010-07-01,9.686
2010-07-02,10.405
2010-07-03,7.082
2010-07-04,4.539
2010-07-05,7.795
2010-07-06,10.93
2010-07-07,11.073
2010-07-08,13.044
2010-07-09,12.535
2010-07-10,13.358
2010-07-11,12.332
2010-07-12,16.214
2010-07-13,17.031
2010-07-14,11.613
2010-07-15,11.291
2010-07-16,9.449
2010-07-17,5.041
2010-07-18,3.966
2010-07-19,4.929
2010-07-20,9.575
2010-07-21,9.491
2010-07-22,8.539
2010-07-23,12.209
2010-07-24,12.922
2010-07-25,8.804
2010-07-26,4.552
2010-07-27,6.935
2010-07-28,5.944
2010-07-29,7.24
2010-07-30,7.129
2010-07-31,9.8
2010-08-01,11.046
2010-08-02,13.013
2010-08-03,14.301
2010-08-04,14.92
2010-08-05,16.72
2010-08-06,11.063
