year,month,t_ave
2000,12,-10.63998031
2001,1,-22.23133856
2001,2,-20.65529664
2001,3,-8.261236743
2001,4,-8.386515039
2001,5,1.294615817
2001,6,4.184192836
2001,7,7.729177906
2001,8,9.041417079
2001,9,3.883112248
2001,10,-0.553809819
2001,11,-7.369848702
2001,12,-9.169855479
2002,1,-23.54166371
2002,2,-22.13503313
2002,3,-17.81477481
2002,4,-9.340138976
2002,5,-2.641066883
2002,6,2.853140953
2002,7,8.773049476
2002,8,8.101726231
2002,9,4.818397772
2002,10,-0.99491516
2002,11,-8.161740633
2002,12,-13.87238729
2003,1,-16.0426058
2003,2,-23.53448789
2003,3,-20.23399674
2003,4,-8.919712348
2003,5,1.231217831
2003,6,4.767712379
2003,7,9.595517611
2003,8,9.50249238
2003,9,8.047722887
2003,10,-0.252679038
2003,11,-5.437799392
2003,12,-10.79563138
2004,1,-16.49898141
2004,2,-18.12375592
2004,3,-16.34108667
2004,4,-7.785813077
2004,5,-1.15844046
2004,6,4.141400038
2004,7,9.631835946
2004,8,8.830382038
2004,9,3.610995942
2004,10,0.914814643
2004,11,-6.094115431
2004,12,-17.34186641
2005,1,-24.46057059
2005,2,-17.74321254
2005,3,-12.22527442
2005,4,-4.645602578
2005,5,1.411054039
2005,6,5.506308249
2005,7,9.912564445
2005,8,7.719631805
2005,9,4.72264768
2005,10,0.715352238
2005,11,-6.133977336
2005,12,-13.73380851
2006,1,-18.44056329
2006,2,-14.92920851
2006,3,-8.553845685
2006,4,-3.854904577
2006,5,2.334532446
2006,6,6.144731132
2006,7,9.763521243
2006,8,8.359092621
2006,9,5.010173609
2006,10,1.018542089
2006,11,-6.038237159
2006,12,-13.00501168
2007,1,-15.990753
2007,2,-13.85609331
2007,3,-15.91296592
2007,4,-7.264095792
2007,5,-3.253756067
2007,6,4.443842461
2007,7,10.0955134
2007,8,8.65497801
2007,9,2.656142219
2007,10,-1.034277931
2007,11,-9.68530372
2007,12,-19.33061514
2008,1,-21.62658602
2008,2,-22.39020812
2008,3,-17.52562654
2008,4,-5.349108129
2008,5,1.282152622
2008,6,7.921695117
2008,7,10.13712205
2008,8,9.554999305
2008,9,4.218033421
2008,10,0.244050443
2008,11,-5.900000523
2008,12,-17.65680169
2009,1,-17.52097557
2009,2,-16.10464821
2009,3,-15.51729255
2009,4,-8.695070548
2009,5,-3.822606761
2009,6,3.304483347
2009,7,8.673788457
2009,8,7.180368176
2009,9,3.435120751
2009,10,-2.029686602
2009,11,-6.454020278
2009,12,-7.920305282
2010,1,-12.96709872
2010,2,-7.799531797
2010,3,-11.5037525
2010,4,-2.871982097
2010,5,0.370587224
2010,6,3.725102443
2010,7,9.426642588
2010,8,12.23127927
2010,9,5.768227692
2010,10,1.392826609
2010,11,-2.979538207
2010,12,-5.384675594
2011,1,-11.52887729
2011,2,-21.1559494
2011,3,-15.14349747
2011,4,-11.04826961
2011,5,-2.658687855
2011,6,3.984085826
2011,7,9.330122938
2011,8,9.636656527
2011,9,4.552985336
2011,10,-0.630958689
2011,11,-7.319915072
2011,12,-15.62584685
2012,1,-18.68042187
2012,2,-19.6351411
2012,3,-16.17414205
2012,4,-6.960978723
2012,5,-0.304317074
2012,6,9.325651925
2012,7,9.823563598
2012,8,10.54572285
2012,9,6.371245816
2012,10,0.250173321
2012,11,-5.988585366
2012,12,-11.67046727
2013,1,-17.62563596
2013,2,-16.87611657
2013,3,-8.377042106
2013,4,-6.63490869
2013,5,-2.524061746
2013,6,1.867023243
2013,7,7.53383112
2013,8,8.6750053
2013,9,3.960885342
2013,10,0.326650112
2013,11,-7.88312552
2013,12,-18.55945508
2014,1,-17.27586033
2014,2,-20.73245822
2014,3,-18.47645317
2014,4,-10.36089907
2014,5,-0.652766917
2014,6,6.380935863
2014,7,8.550669102
2014,8,11.46580805
2014,9,3.377004966
2014,10,0.437807547
2014,11,-9.041761474
2014,12,-14.90739719
2015,1,-23.8836
2015,2,-25.66704823
2015,3,-18.83297968
2015,4,-7.841132161
2015,5,-1.739925581
2015,6,4.760509574
2015,7,8.627202391
2015,8,8.697827205
2015,9,3.85328227
2015,10,-2.383261681
2015,11,-8.771015822
2015,12,-15.70020091
2016,1,-16.48185945
2016,2,-18.63859798
2016,3,-16.48251855
2016,4,-9.692498103
2016,5,-0.825508678
2016,6,4.155982072
2016,7,9.107404895
2016,8,9.167158808
2016,9,4.535236433
2016,10,-2.708822798
2016,11,-7.166616312
2016,12,-18.56242429
2017,1,-17.21325957
2017,2,-20.51696286
2017,3,-16.10246708
2017,4,-9.194330779
2017,5,-0.719707524
2017,6,3.967654788
2017,7,9.208900381
2017,8,8.807031047
2017,9,4.701507168
2017,10,-0.315086987
2017,11,-6.809327635
2017,12,-11.59398448
2018,1,-19.32364034
2018,2,-23.70299804
2018,3,-7.814704631
2018,4,-10.01024943
2018,5,-5.418639415
2018,6,0.899221494
2018,7,8.459644693
2018,8,9.162599074
2018,9,3.114288001
2018,10,-3.71090078
2018,11,-8.771303844
2018,12,-13.80373586
2019,1,-21.36640533
2019,2,-18.84864638
2019,3,-15.60885065
2019,4,-7.336470956
2019,5,1.589289259
2019,6,5.598320448
2019,7,8.711882297
2019,8,8.279172981
2019,9,4.942549951
2019,10,1.238943196
2019,11,-7.117116791
2019,12,-13.78894916
2020,1,-20.45350319
2020,2,-20.59406301
2020,3,-14.16494115
2020,4,-5.905287617
2020,5,-1.115339566
2020,6,3.508371994
2020,7,11.34403105
2020,8,11.12128752
2020,9,4.695580139
2020,10,-2.786209632
2020,11,-9.734246719
2020,12,-12.89958048
2021,1,-12.19409325
2021,2,-14.27596652
2021,3,-13.4410587
2021,4,-2.460638657
2021,5,0.096020939
2021,6,4.006692328
2021,7,10.46769261
2021,8,10.04137374
2021,9,5.02859983
2021,10,2.631897749
2021,11,-6.148461814
2021,12,-12.70832326
