system:time_start,maximum_2m_air_temperature
"Nov 1, 1996",279.108
"Dec 1, 1996",271.332
"Jan 1, 1997",269.904
"Feb 1, 1997",252.329
"Mar 1, 1997",267.572
"Apr 1, 1997",274.203
"May 1, 1997",281.022
"Jun 1, 1997",287.528
"Jul 1, 1997",290.193
"Aug 1, 1997",298.258
"Sep 1, 1997",290.318
"Oct 1, 1997",279.236
"Nov 1, 1997",276.128
"Dec 1, 1997",273.077
"Jan 1, 1998",267.78
"Feb 1, 1998",261.716
"Mar 1, 1998",271.507
"Apr 1, 1998",279.235
"May 1, 1998",281.073
"Jun 1, 1998",292.989
"Jul 1, 1998",294.012
"Aug 1, 1998",293.402
"Sep 1, 1998",287.439
"Oct 1, 1998",278.06
"Nov 1, 1998",272.472
"Dec 1, 1998",266.326
"Jan 1, 1999",267.63
"Feb 1, 1999",266.873
"Mar 1, 1999",278.565
"Apr 1, 1999",274.705
"May 1, 1999",284.426
"Jun 1, 1999",301.442
"Jul 1, 1999",299.569
"Aug 1, 1999",292.389
"Sep 1, 1999",289.385
"Oct 1, 1999",276.194
"Nov 1, 1999",272.729
"Dec 1, 1999",267.416
"Jan 1, 2000",261.362
"Feb 1, 2000",274.807
"Mar 1, 2000",274.22
"Apr 1, 2000",274.614
"May 1, 2000",279.821
"Jun 1, 2000",284.609
"Jul 1, 2000",299.023
"Aug 1, 2000",295.103
"Sep 1, 2000",291.081
"Oct 1, 2000",273.782
"Nov 1, 2000",274.491
"Dec 1, 2000",271.637
"Jan 1, 2001",255.528
"Feb 1, 2001",269.637
"Mar 1, 2001",271.676
"Apr 1, 2001",274.489
"May 1, 2001",285.278
"Jun 1, 2001",292.114
"Jul 1, 2001",295.78
"Aug 1, 2001",294.591
"Sep 1, 2001",284.363
"Oct 1, 2001",279.874
"Nov 1, 2001",273.079
"Dec 1, 2001",271.383
"Jan 1, 2002",265.822
"Feb 1, 2002",265.828
"Mar 1, 2002",269.093
"Apr 1, 2002",277.613
"May 1, 2002",276.806
"Jun 1, 2002",286.642
"Jul 1, 2002",293.695
"Aug 1, 2002",292.907
"Sep 1, 2002",290.86
"Oct 1, 2002",275.602
"Nov 1, 2002",268.847
"Dec 1, 2002",269.597
"Jan 1, 2003",269.733
"Feb 1, 2003",255.598
"Mar 1, 2003",262.356
"Apr 1, 2003",276.612
"May 1, 2003",289.536
"Jun 1, 2003",290.35
"Jul 1, 2003",296.573
"Aug 1, 2003",297.132
"Sep 1, 2003",293.487
"Oct 1, 2003",278.036
"Nov 1, 2003",275.366
"Dec 1, 2003",270.11
"Jan 1, 2004",270.684
"Feb 1, 2004",263.528
"Mar 1, 2004",274.877
"Apr 1, 2004",271.066
"May 1, 2004",277.06
"Jun 1, 2004",290.073
"Jul 1, 2004",294.31
"Aug 1, 2004",292.053
"Sep 1, 2004",285.944
"Oct 1, 2004",281.038
"Nov 1, 2004",270.187
"Dec 1, 2004",266.874
"Jan 1, 2005",254.598
"Feb 1, 2005",268.629
"Mar 1, 2005",271.814
"Apr 1, 2005",278.857
"May 1, 2005",285.152
"Jun 1, 2005",289.471
"Jul 1, 2005",298.679
"Aug 1, 2005",293.903
"Sep 1, 2005",292.02
"Oct 1, 2005",283.096
"Nov 1, 2005",276.695
"Dec 1, 2005",273.257
"Jan 1, 2006",264.629
"Feb 1, 2006",271.539
"Mar 1, 2006",272.02
"Apr 1, 2006",278.709
"May 1, 2006",285.489
"Jun 1, 2006",297.673
"Jul 1, 2006",296.158
"Aug 1, 2006",289.802
"Sep 1, 2006",290.345
"Oct 1, 2006",280.971
"Nov 1, 2006",272.901
"Dec 1, 2006",271.903
"Jan 1, 2007",265.642
"Feb 1, 2007",269.57
"Mar 1, 2007",273.947
"Apr 1, 2007",276.036
"May 1, 2007",277.622
"Jun 1, 2007",291.387
"Jul 1, 2007",294.704
"Aug 1, 2007",293.38
"Sep 1, 2007",282.215
"Oct 1, 2007",282.878
"Nov 1, 2007",273.858
"Dec 1, 2007",265.133
"Jan 1, 2008",267.1
