date,mean_temp_k,mean_temp_c
01-Jan-95,246.055,-27.095
01-Feb-95,244.233,-28.917
01-Mar-95,250.672,-22.478
01-Apr-95,265.323,-7.827
01-May-95,273.296,0.146
01-Jun-95,277.289,4.139
01-Jul-95,283.352,10.202
01-Aug-95,280.528,7.378
01-Sep-95,275.109,1.959
01-Oct-95,268.264,-4.886
01-Nov-95,261.738,-11.412
01-Dec-95,254.071,-19.079
01-Jan-96,245.869,-27.281
01-Feb-96,253.472,-19.678
01-Mar-96,254.607,-18.543
01-Apr-96,267.795,-5.355
01-May-96,269.079,-4.071
01-Jun-96,274.542,1.392
01-Jul-96,281.039,7.889
01-Aug-96,281.825,8.675
01-Sep-96,275.808,2.658
01-Oct-96,268.499,-4.651
01-Nov-96,263.643,-9.507
01-Dec-96,254.376,-18.774
01-Jan-97,250.743,-22.407
01-Feb-97,241.672,-31.478
01-Mar-97,251.006,-22.144
01-Apr-97,261.201,-11.949
01-May-97,270.599,-2.551
01-Jun-97,276.028,2.878
01-Jul-97,280.651,7.501
01-Aug-97,281.495,8.345
01-Sep-97,276.446,3.296
01-Oct-97,268.685,-4.465
01-Nov-97,261.425,-11.725
01-Dec-97,254.477,-18.673
01-Jan-98,247.352,-25.798
01-Feb-98,247.4,-25.75
01-Mar-98,252.758,-20.392
01-Apr-98,264.297,-8.853
01-May-98,271.603,-1.547
01-Jun-98,277.985,4.835
01-Jul-98,282.93,9.78
01-Aug-98,281.58,8.43
01-Sep-98,277.867,4.717
01-Oct-98,268.154,-4.996
01-Nov-98,261.904,-11.246
01-Dec-98,253.867,-19.283
01-Jan-99,246.935,-26.215
01-Feb-99,249.966,-23.184
01-Mar-99,259.794,-13.356
01-Apr-99,264.781,-8.369
01-May-99,272.004,-1.146
01-Jun-99,276.863,3.713
01-Jul-99,282.566,9.416
01-Aug-99,280.872,7.722
01-Sep-99,275.652,2.502
01-Oct-99,266.211,-6.939
01-Nov-99,260.073,-13.077
01-Dec-99,255.168,-17.982
01-Jan-00,246.525,-26.625
01-Feb-00,246.216,-26.934
01-Mar-00,256.945,-16.205
01-Apr-00,262.132,-11.018
01-May-00,269.27,-3.88
01-Jun-00,274.971,1.821
